customer,history,combined_rcmnds,combined_scores,image_rcmnds,image_scores,tfrs_rcmnds,tfrs_scores,text_rcmnds,text_scores,feature_rcmnds,feature_scores
002d1f5bd63ea4d0c6bed75d791646899dfd9069cbb83a82e6d095ee89beda1e,"[502224001, 638416001, 633870001, 547367027, 554477026, 698296002, 658030005, 547367021, 665325002, 547365026, 599580024, 689898002, 681176005, 700340001, 759871003, 775328011, 792817002, 792817002, 746775005, 739363003, 833499003, 802529001, 833530003, 717370001, 212629048, 860322003, 860305002, 829687002]",918158001,0.08,531697001,0.72,554540001,0.92,723469009,0.86,673571001,0.6
002d1f5bd63ea4d0c6bed75d791646899dfd9069cbb83a82e6d095ee89beda1e,"[502224001, 638416001, 633870001, 547367027, 554477026, 698296002, 658030005, 547367021, 665325002, 547365026, 599580024, 689898002, 681176005, 700340001, 759871003, 775328011, 792817002, 792817002, 746775005, 739363003, 833499003, 802529001, 833530003, 717370001, 212629048, 860322003, 860305002, 829687002]",641220001,0.08,635530003,0.72,689898002,0.92,723469001,0.86,669811001,0.59
002d1f5bd63ea4d0c6bed75d791646899dfd9069cbb83a82e6d095ee89beda1e,"[502224001, 638416001, 633870001, 547367027, 554477026, 698296002, 658030005, 547367021, 665325002, 547365026, 599580024, 689898002, 681176005, 700340001, 759871003, 775328011, 792817002, 792817002, 746775005, 739363003, 833499003, 802529001, 833530003, 717370001, 212629048, 860322003, 860305002, 829687002]",890697002,0.08,643582002,0.72,645970003,0.92,723469018,0.86,793108003,0.58
002d1f5bd63ea4d0c6bed75d791646899dfd9069cbb83a82e6d095ee89beda1e,"[502224001, 638416001, 633870001, 547367027, 554477026, 698296002, 658030005, 547367021, 665325002, 547365026, 599580024, 689898002, 681176005, 700340001, 759871003, 775328011, 792817002, 792817002, 746775005, 739363003, 833499003, 802529001, 833530003, 717370001, 212629048, 860322003, 860305002, 829687002]",575460009,0.08,619923001,0.71,740922005,0.92,723469010,0.86,658847002,0.58
002d1f5bd63ea4d0c6bed75d791646899dfd9069cbb83a82e6d095ee89beda1e,"[502224001, 638416001, 633870001, 547367027, 554477026, 698296002, 658030005, 547367021, 665325002, 547365026, 599580024, 689898002, 681176005, 700340001, 759871003, 775328011, 792817002, 792817002, 746775005, 739363003, 833499003, 802529001, 833530003, 717370001, 212629048, 860322003, 860305002, 829687002]",648572001,0.08,619285004,0.71,781683009,0.92,723469012,0.86,792817003,0.58
002d1f5bd63ea4d0c6bed75d791646899dfd9069cbb83a82e6d095ee89beda1e,"[502224001, 638416001, 633870001, 547367027, 554477026, 698296002, 658030005, 547367021, 665325002, 547365026, 599580024, 689898002, 681176005, 700340001, 759871003, 775328011, 792817002, 792817002, 746775005, 739363003, 833499003, 802529001, 833530003, 717370001, 212629048, 860322003, 860305002, 829687002]",726282001,0.08,541518018,0.7,866520001,0.92,723469002,0.86,763673001,0.58
00299609d2f3cd490b2e5939f22c881340ece8a1dd3d63db201b5ae30462e460,"[655259002, 700745001, 717345002, 710708001, 707742004, 714807001, 709987002, 589599031, 717779002, 699570001, 693497002, 767799003, 608261001, 701080002, 699570003, 701129003, 701851002, 701079003, 708456009, 636323001, 722750003, 730122001, 615959001, 707735005, 716671001, 741862001, 734262001, 681385003, 764618001, 549477005, 681002002, 708230007, 679287004, 572797002, 715252001, 757557004, 572797001, 681385003, 727593004, 765926001, 599580020, 599580020, 351484002, 351484002, 745247004, 749699001, 758222007, 566140001, 566140001, 734287001, 768879002, 458543001, 742377001, 589599045, 589599031, 699080001, 717370001, 776237003, 756185003, 731407006, 524529004, 714825005, 560214002, 734236002, 760565002, 536139053, 714828001, 755467002, 820870003, 734663002, 751471001, 751471001, 792438001, 573716012, 568597006, 568597006, 704065001, 795550001, 777504004, 777504004, 729004001, 754356002, 775996014, 715126008, 693497003, 760747001, 751471034, 823118002, 857924003, 886218003, 792438005, 863013001, 821148001, 823165002, 887593002, 891877001, 824778003, 824778003, 699570002, 699570002, 714790021, 714790021, 808841003, 808841003, 865678001, 865678001, 858833001, 858833001, 832036003, 832036003, 599580038, 599580038, 853545001, 853545001, 349301001, 349301001, 776237020, 776237020, 448509028, 448509028, 559630026, 559630026, 852775005, 852775005, 818397001, 818397001, 599580055, 599580055, 857570001, 857570001, 489435014, 489435014, 814766004, 814766004, 821397001, 821397001, 836285001, 836285001, 727880037, 727880037, 858052005, 858052005, 849738001, 884319005, 909320002, 821397007, 875082003, 878604002, 859737001, 921226004, 727414001, 865929014, 557994015]",918158001,0.05,661314001,0.55,827907005,0.88,539448002,0.87,535510002,0.47
00299609d2f3cd490b2e5939f22c881340ece8a1dd3d63db201b5ae30462e460,"[655259002, 700745001, 717345002, 710708001, 707742004, 714807001, 709987002, 589599031, 717779002, 699570001, 693497002, 767799003, 608261001, 701080002, 699570003, 701129003, 701851002, 701079003, 708456009, 636323001, 722750003, 730122001, 615959001, 707735005, 716671001, 741862001, 734262001, 681385003, 764618001, 549477005, 681002002, 708230007, 679287004, 572797002, 715252001, 757557004, 572797001, 681385003, 727593004, 765926001, 599580020, 599580020, 351484002, 351484002, 745247004, 749699001, 758222007, 566140001, 566140001, 734287001, 768879002, 458543001, 742377001, 589599045, 589599031, 699080001, 717370001, 776237003, 756185003, 731407006, 524529004, 714825005, 560214002, 734236002, 760565002, 536139053, 714828001, 755467002, 820870003, 734663002, 751471001, 751471001, 792438001, 573716012, 568597006, 568597006, 704065001, 795550001, 777504004, 777504004, 729004001, 754356002, 775996014, 715126008, 693497003, 760747001, 751471034, 823118002, 857924003, 886218003, 792438005, 863013001, 821148001, 823165002, 887593002, 891877001, 824778003, 824778003, 699570002, 699570002, 714790021, 714790021, 808841003, 808841003, 865678001, 865678001, 858833001, 858833001, 832036003, 832036003, 599580038, 599580038, 853545001, 853545001, 349301001, 349301001, 776237020, 776237020, 448509028, 448509028, 559630026, 559630026, 852775005, 852775005, 818397001, 818397001, 599580055, 599580055, 857570001, 857570001, 489435014, 489435014, 814766004, 814766004, 821397001, 821397001, 836285001, 836285001, 727880037, 727880037, 858052005, 858052005, 849738001, 884319005, 909320002, 821397007, 875082003, 878604002, 859737001, 921226004, 727414001, 865929014, 557994015]",609638001,0.05,726229002,0.54,655843002,0.87,539448001,0.87,555750001,0.47
00299609d2f3cd490b2e5939f22c881340ece8a1dd3d63db201b5ae30462e460,"[655259002, 700745001, 717345002, 710708001, 707742004, 714807001, 709987002, 589599031, 717779002, 699570001, 693497002, 767799003, 608261001, 701080002, 699570003, 701129003, 701851002, 701079003, 708456009, 636323001, 722750003, 730122001, 615959001, 707735005, 716671001, 741862001, 734262001, 681385003, 764618001, 549477005, 681002002, 708230007, 679287004, 572797002, 715252001, 757557004, 572797001, 681385003, 727593004, 765926001, 599580020, 599580020, 351484002, 351484002, 745247004, 749699001, 758222007, 566140001, 566140001, 734287001, 768879002, 458543001, 742377001, 589599045, 589599031, 699080001, 717370001, 776237003, 756185003, 731407006, 524529004, 714825005, 560214002, 734236002, 760565002, 536139053, 714828001, 755467002, 820870003, 734663002, 751471001, 751471001, 792438001, 573716012, 568597006, 568597006, 704065001, 795550001, 777504004, 777504004, 729004001, 754356002, 775996014, 715126008, 693497003, 760747001, 751471034, 823118002, 857924003, 886218003, 792438005, 863013001, 821148001, 823165002, 887593002, 891877001, 824778003, 824778003, 699570002, 699570002, 714790021, 714790021, 808841003, 808841003, 865678001, 865678001, 858833001, 858833001, 832036003, 832036003, 599580038, 599580038, 853545001, 853545001, 349301001, 349301001, 776237020, 776237020, 448509028, 448509028, 559630026, 559630026, 852775005, 852775005, 818397001, 818397001, 599580055, 599580055, 857570001, 857570001, 489435014, 489435014, 814766004, 814766004, 821397001, 821397001, 836285001, 836285001, 727880037, 727880037, 858052005, 858052005, 849738001, 884319005, 909320002, 821397007, 875082003, 878604002, 859737001, 921226004, 727414001, 865929014, 557994015]",574717001,0.05,827379001,0.54,866455003,0.86,783552002,0.87,599580055,0.46
00299609d2f3cd490b2e5939f22c881340ece8a1dd3d63db201b5ae30462e460,"[655259002, 700745001, 717345002, 710708001, 707742004, 714807001, 709987002, 589599031, 717779002, 699570001, 693497002, 767799003, 608261001, 701080002, 699570003, 701129003, 701851002, 701079003, 708456009, 636323001, 722750003, 730122001, 615959001, 707735005, 716671001, 741862001, 734262001, 681385003, 764618001, 549477005, 681002002, 708230007, 679287004, 572797002, 715252001, 757557004, 572797001, 681385003, 727593004, 765926001, 599580020, 599580020, 351484002, 351484002, 745247004, 749699001, 758222007, 566140001, 566140001, 734287001, 768879002, 458543001, 742377001, 589599045, 589599031, 699080001, 717370001, 776237003, 756185003, 731407006, 524529004, 714825005, 560214002, 734236002, 760565002, 536139053, 714828001, 755467002, 820870003, 734663002, 751471001, 751471001, 792438001, 573716012, 568597006, 568597006, 704065001, 795550001, 777504004, 777504004, 729004001, 754356002, 775996014, 715126008, 693497003, 760747001, 751471034, 823118002, 857924003, 886218003, 792438005, 863013001, 821148001, 823165002, 887593002, 891877001, 824778003, 824778003, 699570002, 699570002, 714790021, 714790021, 808841003, 808841003, 865678001, 865678001, 858833001, 858833001, 832036003, 832036003, 599580038, 599580038, 853545001, 853545001, 349301001, 349301001, 776237020, 776237020, 448509028, 448509028, 559630026, 559630026, 852775005, 852775005, 818397001, 818397001, 599580055, 599580055, 857570001, 857570001, 489435014, 489435014, 814766004, 814766004, 821397001, 821397001, 836285001, 836285001, 727880037, 727880037, 858052005, 858052005, 849738001, 884319005, 909320002, 821397007, 875082003, 878604002, 859737001, 921226004, 727414001, 865929014, 557994015]",903673001,0.05,648907001,0.53,866455002,0.86,783552001,0.87,844160002,0.46
00299609d2f3cd490b2e5939f22c881340ece8a1dd3d63db201b5ae30462e460,"[655259002, 700745001, 717345002, 710708001, 707742004, 714807001, 709987002, 589599031, 717779002, 699570001, 693497002, 767799003, 608261001, 701080002, 699570003, 701129003, 701851002, 701079003, 708456009, 636323001, 722750003, 730122001, 615959001, 707735005, 716671001, 741862001, 734262001, 681385003, 764618001, 549477005, 681002002, 708230007, 679287004, 572797002, 715252001, 757557004, 572797001, 681385003, 727593004, 765926001, 599580020, 599580020, 351484002, 351484002, 745247004, 749699001, 758222007, 566140001, 566140001, 734287001, 768879002, 458543001, 742377001, 589599045, 589599031, 699080001, 717370001, 776237003, 756185003, 731407006, 524529004, 714825005, 560214002, 734236002, 760565002, 536139053, 714828001, 755467002, 820870003, 734663002, 751471001, 751471001, 792438001, 573716012, 568597006, 568597006, 704065001, 795550001, 777504004, 777504004, 729004001, 754356002, 775996014, 715126008, 693497003, 760747001, 751471034, 823118002, 857924003, 886218003, 792438005, 863013001, 821148001, 823165002, 887593002, 891877001, 824778003, 824778003, 699570002, 699570002, 714790021, 714790021, 808841003, 808841003, 865678001, 865678001, 858833001, 858833001, 832036003, 832036003, 599580038, 599580038, 853545001, 853545001, 349301001, 349301001, 776237020, 776237020, 448509028, 448509028, 559630026, 559630026, 852775005, 852775005, 818397001, 818397001, 599580055, 599580055, 857570001, 857570001, 489435014, 489435014, 814766004, 814766004, 821397001, 821397001, 836285001, 836285001, 727880037, 727880037, 858052005, 858052005, 849738001, 884319005, 909320002, 821397007, 875082003, 878604002, 859737001, 921226004, 727414001, 865929014, 557994015]",903487001,0.04,764600002,0.52,827907003,0.85,671636003,0.87,796806005,0.45
00299609d2f3cd490b2e5939f22c881340ece8a1dd3d63db201b5ae30462e460,"[655259002, 700745001, 717345002, 710708001, 707742004, 714807001, 709987002, 589599031, 717779002, 699570001, 693497002, 767799003, 608261001, 701080002, 699570003, 701129003, 701851002, 701079003, 708456009, 636323001, 722750003, 730122001, 615959001, 707735005, 716671001, 741862001, 734262001, 681385003, 764618001, 549477005, 681002002, 708230007, 679287004, 572797002, 715252001, 757557004, 572797001, 681385003, 727593004, 765926001, 599580020, 599580020, 351484002, 351484002, 745247004, 749699001, 758222007, 566140001, 566140001, 734287001, 768879002, 458543001, 742377001, 589599045, 589599031, 699080001, 717370001, 776237003, 756185003, 731407006, 524529004, 714825005, 560214002, 734236002, 760565002, 536139053, 714828001, 755467002, 820870003, 734663002, 751471001, 751471001, 792438001, 573716012, 568597006, 568597006, 704065001, 795550001, 777504004, 777504004, 729004001, 754356002, 775996014, 715126008, 693497003, 760747001, 751471034, 823118002, 857924003, 886218003, 792438005, 863013001, 821148001, 823165002, 887593002, 891877001, 824778003, 824778003, 699570002, 699570002, 714790021, 714790021, 808841003, 808841003, 865678001, 865678001, 858833001, 858833001, 832036003, 832036003, 599580038, 599580038, 853545001, 853545001, 349301001, 349301001, 776237020, 776237020, 448509028, 448509028, 559630026, 559630026, 852775005, 852775005, 818397001, 818397001, 599580055, 599580055, 857570001, 857570001, 489435014, 489435014, 814766004, 814766004, 821397001, 821397001, 836285001, 836285001, 727880037, 727880037, 858052005, 858052005, 849738001, 884319005, 909320002, 821397007, 875082003, 878604002, 859737001, 921226004, 727414001, 865929014, 557994015]",798441006,0.04,645754001,0.52,622284002,0.85,671636001,0.87,838357002,0.45
00299609d2f3cd490b2e5939f22c881340ece8a1dd3d63db201b5ae30462e460,"[655259002, 700745001, 717345002, 710708001, 707742004, 714807001, 709987002, 589599031, 717779002, 699570001, 693497002, 767799003, 608261001, 701080002, 699570003, 701129003, 701851002, 701079003, 708456009, 636323001, 722750003, 730122001, 615959001, 707735005, 716671001, 741862001, 734262001, 681385003, 764618001, 549477005, 681002002, 708230007, 679287004, 572797002, 715252001, 757557004, 572797001, 681385003, 727593004, 765926001, 599580020, 599580020, 351484002, 351484002, 745247004, 749699001, 758222007, 566140001, 566140001, 734287001, 768879002, 458543001, 742377001, 589599045, 589599031, 699080001, 717370001, 776237003, 756185003, 731407006, 524529004, 714825005, 560214002, 734236002, 760565002, 536139053, 714828001, 755467002, 820870003, 734663002, 751471001, 751471001, 792438001, 573716012, 568597006, 568597006, 704065001, 795550001, 777504004, 777504004, 729004001, 754356002, 775996014, 715126008, 693497003, 760747001, 751471034, 823118002, 857924003, 886218003, 792438005, 863013001, 821148001, 823165002, 887593002, 891877001, 824778003, 824778003, 699570002, 699570002, 714790021, 714790021, 808841003, 808841003, 865678001, 865678001, 858833001, 858833001, 832036003, 832036003, 599580038, 599580038, 853545001, 853545001, 349301001, 349301001, 776237020, 776237020, 448509028, 448509028, 559630026, 559630026, 852775005, 852775005, 818397001, 818397001, 599580055, 599580055, 857570001, 857570001, 489435014, 489435014, 814766004, 814766004, 821397001, 821397001, 836285001, 836285001, 727880037, 727880037, 858052005, 858052005, 849738001, 884319005, 909320002, 821397007, 875082003, 878604002, 859737001, 921226004, 727414001, 865929014, 557994015]",641220001,0.04,752486005,0.51,799417001,0.83,727612001,0.86,764598002,0.44
00299609d2f3cd490b2e5939f22c881340ece8a1dd3d63db201b5ae30462e460,"[655259002, 700745001, 717345002, 710708001, 707742004, 714807001, 709987002, 589599031, 717779002, 699570001, 693497002, 767799003, 608261001, 701080002, 699570003, 701129003, 701851002, 701079003, 708456009, 636323001, 722750003, 730122001, 615959001, 707735005, 716671001, 741862001, 734262001, 681385003, 764618001, 549477005, 681002002, 708230007, 679287004, 572797002, 715252001, 757557004, 572797001, 681385003, 727593004, 765926001, 599580020, 599580020, 351484002, 351484002, 745247004, 749699001, 758222007, 566140001, 566140001, 734287001, 768879002, 458543001, 742377001, 589599045, 589599031, 699080001, 717370001, 776237003, 756185003, 731407006, 524529004, 714825005, 560214002, 734236002, 760565002, 536139053, 714828001, 755467002, 820870003, 734663002, 751471001, 751471001, 792438001, 573716012, 568597006, 568597006, 704065001, 795550001, 777504004, 777504004, 729004001, 754356002, 775996014, 715126008, 693497003, 760747001, 751471034, 823118002, 857924003, 886218003, 792438005, 863013001, 821148001, 823165002, 887593002, 891877001, 824778003, 824778003, 699570002, 699570002, 714790021, 714790021, 808841003, 808841003, 865678001, 865678001, 858833001, 858833001, 832036003, 832036003, 599580038, 599580038, 853545001, 853545001, 349301001, 349301001, 776237020, 776237020, 448509028, 448509028, 559630026, 559630026, 852775005, 852775005, 818397001, 818397001, 599580055, 599580055, 857570001, 857570001, 489435014, 489435014, 814766004, 814766004, 821397001, 821397001, 836285001, 836285001, 727880037, 727880037, 858052005, 858052005, 849738001, 884319005, 909320002, 821397007, 875082003, 878604002, 859737001, 921226004, 727414001, 865929014, 557994015]",734385002,0.04,738244001,0.51,700758014,0.83,747196004,0.86,599580028,0.44
0014b724f15bcfeaa8ab3f04c119a3c081b0d0fa76c1a5593730fa2aeb6968a6,"[562245046, 769829002, 769829002, 772927001, 490098001, 758125001, 475260003, 758084002, 671206002]",599718043,0.11,687852002,0.68,705431003,0.93,611815007,0.85,758125001,0.42
0014b724f15bcfeaa8ab3f04c119a3c081b0d0fa76c1a5593730fa2aeb6968a6,"[562245046, 769829002, 769829002, 772927001, 490098001, 758125001, 475260003, 758084002, 671206002]",883068006,0.11,620255001,0.68,673393001,0.9,588676001,0.85,758126002,0.42
0014b724f15bcfeaa8ab3f04c119a3c081b0d0fa76c1a5593730fa2aeb6968a6,"[562245046, 769829002, 769829002, 772927001, 490098001, 758125001, 475260003, 758084002, 671206002]",564311036,0.1,852540001,0.67,766979001,0.9,611815001,0.85,747737002,0.41
0014b724f15bcfeaa8ab3f04c119a3c081b0d0fa76c1a5593730fa2aeb6968a6,"[562245046, 769829002, 769829002, 772927001, 490098001, 758125001, 475260003, 758084002, 671206002]",649331004,0.1,654983001,0.67,704570001,0.9,808584001,0.85,758156001,0.4
0014b724f15bcfeaa8ab3f04c119a3c081b0d0fa76c1a5593730fa2aeb6968a6,"[562245046, 769829002, 769829002, 772927001, 490098001, 758125001, 475260003, 758084002, 671206002]",764147012,0.1,703356001,0.65,583785005,0.9,640429001,0.85,758110001,0.4
0014b724f15bcfeaa8ab3f04c119a3c081b0d0fa76c1a5593730fa2aeb6968a6,"[562245046, 769829002, 769829002, 772927001, 490098001, 758125001, 475260003, 758084002, 671206002]",736767021,0.1,664939002,0.65,501915004,0.9,862952001,0.85,860411005,0.4
0014b724f15bcfeaa8ab3f04c119a3c081b0d0fa76c1a5593730fa2aeb6968a6,"[562245046, 769829002, 769829002, 772927001, 490098001, 758125001, 475260003, 758084002, 671206002]",366859024,0.1,500134001,0.65,901666001,0.9,797079004,0.85,850897001,0.39
0014b724f15bcfeaa8ab3f04c119a3c081b0d0fa76c1a5593730fa2aeb6968a6,"[562245046, 769829002, 769829002, 772927001, 490098001, 758125001, 475260003, 758084002, 671206002]",899322001,0.1,885638001,0.64,746075001,0.9,797079001,0.85,850895001,0.39
0028c4674e52ba2e3c2d045a4878370c992c701e1e0fe4851afe647a8a036115,"[608776003, 595729001, 648648001, 723865001, 698302012, 685815001, 708352002, 708352001, 740324002, 766028001, 698258002, 452618001, 452618001, 111609001, 672127004, 562498002, 593808008, 743223001, 767869001, 681181006, 681181006, 570004050, 716590007, 803990001, 788006002, 800396003, 441386004, 570003031, 669091033, 741478003, 674606056, 788006001, 881369007, 570319050, 881369007, 808748002, 730683021, 805007001, 834208002, 809752005]",779933001,0.06,671777035,0.63,686137002,0.98,763389002,0.88,628608001,0.5
0028c4674e52ba2e3c2d045a4878370c992c701e1e0fe4851afe647a8a036115,"[608776003, 595729001, 648648001, 723865001, 698302012, 685815001, 708352002, 708352001, 740324002, 766028001, 698258002, 452618001, 452618001, 111609001, 672127004, 562498002, 593808008, 743223001, 767869001, 681181006, 681181006, 570004050, 716590007, 803990001, 788006002, 800396003, 441386004, 570003031, 669091033, 741478003, 674606056, 788006001, 881369007, 570319050, 881369007, 808748002, 730683021, 805007001, 834208002, 809752005]",919482002,0.06,673940008,0.6,933838002,0.97,763389003,0.88,872826004,0.5
0028c4674e52ba2e3c2d045a4878370c992c701e1e0fe4851afe647a8a036115,"[608776003, 595729001, 648648001, 723865001, 698302012, 685815001, 708352002, 708352001, 740324002, 766028001, 698258002, 452618001, 452618001, 111609001, 672127004, 562498002, 593808008, 743223001, 767869001, 681181006, 681181006, 570004050, 716590007, 803990001, 788006002, 800396003, 441386004, 570003031, 669091033, 741478003, 674606056, 788006001, 881369007, 570319050, 881369007, 808748002, 730683021, 805007001, 834208002, 809752005]",617299001,0.05,673940004,0.59,701403001,0.97,759607001,0.87,833975003,0.5
0028c4674e52ba2e3c2d045a4878370c992c701e1e0fe4851afe647a8a036115,"[608776003, 595729001, 648648001, 723865001, 698302012, 685815001, 708352002, 708352001, 740324002, 766028001, 698258002, 452618001, 452618001, 111609001, 672127004, 562498002, 593808008, 743223001, 767869001, 681181006, 681181006, 570004050, 716590007, 803990001, 788006002, 800396003, 441386004, 570003031, 669091033, 741478003, 674606056, 788006001, 881369007, 570319050, 881369007, 808748002, 730683021, 805007001, 834208002, 809752005]",756830002,0.05,751214003,0.59,759964001,0.97,706702001,0.87,600470002,0.48
0028c4674e52ba2e3c2d045a4878370c992c701e1e0fe4851afe647a8a036115,"[608776003, 595729001, 648648001, 723865001, 698302012, 685815001, 708352002, 708352001, 740324002, 766028001, 698258002, 452618001, 452618001, 111609001, 672127004, 562498002, 593808008, 743223001, 767869001, 681181006, 681181006, 570004050, 716590007, 803990001, 788006002, 800396003, 441386004, 570003031, 669091033, 741478003, 674606056, 788006001, 881369007, 570319050, 881369007, 808748002, 730683021, 805007001, 834208002, 809752005]",809684007,0.05,721075001,0.58,715102001,0.97,731996001,0.87,757050001,0.48
0028c4674e52ba2e3c2d045a4878370c992c701e1e0fe4851afe647a8a036115,"[608776003, 595729001, 648648001, 723865001, 698302012, 685815001, 708352002, 708352001, 740324002, 766028001, 698258002, 452618001, 452618001, 111609001, 672127004, 562498002, 593808008, 743223001, 767869001, 681181006, 681181006, 570004050, 716590007, 803990001, 788006002, 800396003, 441386004, 570003031, 669091033, 741478003, 674606056, 788006001, 881369007, 570319050, 881369007, 808748002, 730683021, 805007001, 834208002, 809752005]",887559001,0.05,512417004,0.58,771824004,0.97,731996004,0.87,744533004,0.48
0028c4674e52ba2e3c2d045a4878370c992c701e1e0fe4851afe647a8a036115,"[608776003, 595729001, 648648001, 723865001, 698302012, 685815001, 708352002, 708352001, 740324002, 766028001, 698258002, 452618001, 452618001, 111609001, 672127004, 562498002, 593808008, 743223001, 767869001, 681181006, 681181006, 570004050, 716590007, 803990001, 788006002, 800396003, 441386004, 570003031, 669091033, 741478003, 674606056, 788006001, 881369007, 570319050, 881369007, 808748002, 730683021, 805007001, 834208002, 809752005]",809684001,0.05,673940006,0.56,617691001,0.97,677931001,0.87,825920001,0.48
0028c4674e52ba2e3c2d045a4878370c992c701e1e0fe4851afe647a8a036115,"[608776003, 595729001, 648648001, 723865001, 698302012, 685815001, 708352002, 708352001, 740324002, 766028001, 698258002, 452618001, 452618001, 111609001, 672127004, 562498002, 593808008, 743223001, 767869001, 681181006, 681181006, 570004050, 716590007, 803990001, 788006002, 800396003, 441386004, 570003031, 669091033, 741478003, 674606056, 788006001, 881369007, 570319050, 881369007, 808748002, 730683021, 805007001, 834208002, 809752005]",898889002,0.05,829045006,0.55,742561004,0.97,845446001,0.87,903813003,0.48
0014e66830778a3f5340532e53115f83c4343a492ea4e9f593f964857ee69f41,"[783346003, 777504006, 752814006]",911700001,0.13,783346003,0.84,766402012,0.99,783346023,0.96,752814004,0.71
0014e66830778a3f5340532e53115f83c4343a492ea4e9f593f964857ee69f41,"[783346003, 777504006, 752814006]",531835001,0.12,783346023,0.82,710876025,0.98,783346028,0.96,777504002,0.71
0014e66830778a3f5340532e53115f83c4343a492ea4e9f593f964857ee69f41,"[783346003, 777504006, 752814006]",814686003,0.12,751471031,0.81,804759004,0.98,783346021,0.96,783346015,0.69
0014e66830778a3f5340532e53115f83c4343a492ea4e9f593f964857ee69f41,"[783346003, 777504006, 752814006]",255396010,0.12,751471022,0.79,910451001,0.98,783346003,0.96,753737007,0.69
0014e66830778a3f5340532e53115f83c4343a492ea4e9f593f964857ee69f41,"[783346003, 777504006, 752814006]",687524020,0.12,751471033,0.79,768289001,0.98,783346024,0.96,686631003,0.69
0014e66830778a3f5340532e53115f83c4343a492ea4e9f593f964857ee69f41,"[783346003, 777504006, 752814006]",883621002,0.12,752814017,0.78,750422019,0.97,783346030,0.96,777504006,0.68
0014e66830778a3f5340532e53115f83c4343a492ea4e9f593f964857ee69f41,"[783346003, 777504006, 752814006]",686516002,0.12,777504002,0.78,755610001,0.97,783346006,0.96,753737006,0.68
0014e66830778a3f5340532e53115f83c4343a492ea4e9f593f964857ee69f41,"[783346003, 777504006, 752814006]",874819002,0.12,752814004,0.78,825016002,0.97,783346001,0.96,629596002,0.66
001b6f3f3365fe335f8a3b818eb60b1ccd6c764707d73a47b03ca8734ae8fe0a,"[741478001, 733098018, 714807004, 863775001, 738567003, 599580083, 860820001, 684209025, 832453006, 801068005, 895506001, 876053001, 621381001, 860819001, 594987012, 753802006, 859205001, 572998012]",255396010,0.1,809344002,0.73,870643005,0.9,845446001,0.87,854678003,0.53
